运行名称,核心数,负载,模拟时间,99%尾延迟,99.9%尾延迟,吞吐量,丢弃时间百分比,分布
DRAC_27_17-08,9,1,1000000,158045.3,168133.61000000045,8865787.221106693,10,双峰
DRAC_27_17-09,9,1,1000000,43598.23999999998,49447.16800000012,8995000.0,10,双峰
DRAC_27_17-10,9,1,1000000,32130.95000000001,50176.8250000003,9049000.0,10,双峰
DRAC_29_14-39-17_WS,9,1,1000000,43498.480000000025,50310.93400000002,8923000.0,10,双峰
DRAC_29_14-41-27_WS,9,1,1000000,42501.25,53610.02500000005,8833000.0,10,双峰
DRAC_29_14-41-28_WS,9,1,1000000,28070.879999999997,41416.328000002366,8944000.0,10,双峰
DRAC_29_21-07-20_WS,9,1,1000000,28630.739999999998,41274.407000000036,8877000.0,10,双峰
DRAC_29_21-07-57_fast,9,1,1000000,72781.48,76568.89400000019,9099944.406448852,10,双峰
DRAC_29_21-08-39_nofast,9,1,1000000,59629.14000000001,64919.641000000265,8981000.0,10,双峰
DRAC_29_21-21-28_nofast,9,1,1000000,77913.74,83773.62200000016,8895000.0,10,双峰
DARC_30_20-21-35-2-5,9,1,1000000,62698.91000000004,67823.63700000002,8904000.0,10,双峰
DARC_30_20-24-01-2-5,9,1,1000000,39968.76,44802.85200000001,8807000.0,10,双峰
DARC_30_20-26-43-2-5,9,1,1000000,47978.04000000001,56209.51600000002,8992000.0,10,双峰
DARC_30_21-07-31-ws-2-5,9,1,1000000,79075.3,90174.91300000022,8867000.0,10,双峰
DARC_30_21-09-20-ws-2-5,  9,1,1000000,104773.37999999999,115795.61200000002,9136000.0,10,双峰
DARC_30_21-10-37-ws-2-5,9,1,1000000,35076.18000000001,39581.720000000285,9005000.0,10,双峰
DARC_30_21-13-03-ws-2-5,9,1,1000000,74224.05999999994,86827.39400000016,8989000.0,10,双峰
DARC_30_21-15-17-ws-2-10,9,1,1000000,66020.31999999996,70288.19200000002,8974000.0,10,双峰
DARC_30_21-16-53-ws-2-10,9,1,1000000,124155.04000000001,132109.78000000014,9009000.0,10,双峰
DARC_30_21-21-12,9,1,1000000,65851.56,73940.33200000001,8760000.0,10,双峰
DARC_30_21-51-22-ws-2-10-edit,9,1,1000000,30425.159999999993,34719.464000000225,8758000.0,10,双峰
DARC_30_22-03-30-ws-2-10-edit,9,1,1000000,37500.700000000004,42707.75000000017,8656000.0,10,双峰
DARC_31_21-26-01,9,1,1000000,40297.4,44372.38000000021,8637000.0,10,双峰
DARC_31_22-34-48,9,0.5,1000000,8862.019999999997,13404.97500000016,4517000.0,10,双峰
DARC_02_20-23-48,9,0.5,1000000,6276.020000000003,9165.964000000055,2043000.0,10,双峰
DARC_02_20-28-42,9,1,1000000,6276.020000000003,9165.964000000055,2043000.0,10,双峰
DARC_02_21-31-14,9,1,1000000,33351.0,40915.160000000695,8803000.0,10,双峰
DARC_02_21-35-04,9,1,1000000,264332.89999999997,267377.92400000006,7517000.0,10,指数
DARC_10_16-23-35,9,1,1000000,507320.65,511191.465,4720000.0,10,双峰
DARC_10_16-29-04,9,1,1000000,509205.08,513555.8080000002,4717000.0,10,双峰
DARC_11_16-21-37,9,1,1000000,53254.50999999998,57117.742000000035,8758000.0,10,双峰
DARC_11_16-22-21,9,1,1000000,43423.37999999889,48987.31800000001,8850000.0,10,双峰
DARC_11_16-24-30,9,1,1000000,22050.56,28246.55800000004,8969000.0,10,指数
DARC_11_16-27-56,9,1,1000000,18086.32,21001.32100000004,8786000.0,10,双峰
DARC_11_16-32-29,9,1,1000000,36785.55,38591.902,8921000.0,10,双峰
DARC_11_16-33-27,9,1,1000000,44081.520000000004,47680.938,8966000.0,10,双峰
DARC_13_14-17-41,9,1,1000000,168745.77999999997,183438.5860000002,8828000.0,10,双峰
DARC_13_14-18-23,9,1,1000000,187962.30000000002,223178.47000000032,8954000.0,10,双峰
DARC_13_14-19-34,9,1,1000000,203571.64000000016,229344.68200000038,8803000.0,10,双峰
DARC_13_14-24-03,9,1,1000000,177076.37,192970.05800000016,8819259.182228694,10,双峰
DARC_13_14-25-27,9,1,1000000,187322.19999999998,204774.78000000026,8847168.36617358,10,双峰
DARC_13_14-27-11,9,1,1000000,164652.4,173384.76000000018,8807982.384035232,10,双峰
DARC_13_14-32-45,9,1,1000000,28626.949999999997,30926.43500000014,8874352.172291422,10,指数
DARC_13_15-29-31,9,1,1000000,27801.599999999988,31157.750000000102,9026151.541755075,10,指数
DARC_13_15-30-17,9,1,1000000,140988.03999999998,171195.48000000042,8894884.366503237,10,双峰
DARC_13_15-32-11,9,1,1000000,155120.51000000007,175260.7000000002,8833955.83022085,10,双峰
DARC_13_15-40-55,9,1,1000000,154116.87999999998,180222.02100000007,9025846.56060847,10,双峰
DARC_13_15-43-54,9,1,1000000,188024.32999999993,210674.73400000032,8738676.668963248,10,双峰
DARC_13_15-45-05,9,1,1000000,158699.46999999988,188269.45200000145,8739318.333170014,10,双峰
DARC_13_15-51-37,9,1,1000000,47582.80000000002,57261.19400000002,8813224.43624961,10,双峰
DARC_13_15-56-31,9,1,1000000,59442.149999999994,61266.23000000001,9074981.850036299,10,双峰
DARC_13_16-02-01,9,1,1000000,45664.369999999995,48700.18600000019,8850787.303174207,10,双峰
DARC_13_16-03-03,9,1,1000000,15758.409999999985,18118.66500000004,8902014.850688297,10,指数
DARC_13_16-03-58,9,1,1000000,80495.01999999999,81092.436,8461713.819499437,10,双峰
DARC_13_16-05-59,9,1,1000000,63678.17,70597.36800000002,8767000.561935939,10,双峰
DARC_13_16-12-07,9,1,1000000,120204.66,122767.63000000002,8361829.343891855,10,双峰
DARC_13_16-24-07,9,1,1000000,67759.74999999991,76653.48900000006,8762720.642786155,10,双峰
DARC_13_16-28-28,9,1,1000000,18166.049999999967,21633.27000000007,8807150.498395337,10,指数
DARC_13_16-50-47,9,1,1000000,65520.96,68858.32200000013,8663861.378217949,10,双峰
DARC_13_17-05-41,9,1,1000000,60653.34,68161.07600000012,8848592.964723622,10,双峰
DARC_13_17-13-40,9,1,1000000,37109.0,41049.77000000026,8826311.54769928,10,双峰
DARC_13_17-14-19,9,1,1000000,39966.52000000002,43937.90400000003,8897777.555561112,10,双峰
DARC_13_17-15-30,9,1,1000000,27122.479999999996,31087.540000000008,8873000.0,10,指数
DARC_14_16-31-12,9,1,1000000,30842.03999999998,32735.216000000008,8872693.099794054,10,指数
DARC_14_16-31-52,9,1,1000000,44362.32000000001,47597.50800000009,8781699.194810959,10,双峰
DARC_25_12-50-52,9,1,1000000,41886.850000000006,47582.26500000029,8850079.532741394,10,双峰
DARC_30_00-09-24,9,1,1000000,42386.64,50583.782000000036,8865457.410410589,10,双峰
DARC_30_00-09-53,9,1,1000000,31129.32,32796.77900000008,9005261.568551378,10,双峰
DARC_30_00-10-26,9,1,1000000,19658.92,24260.072000000233,9018945.886324683,10,双峰
DARC_30_00-11-36,9,1,1000000,52153.7,53975.57000000003,8895087.556175424,10,指数
DARC_06_16-27-20,9,1,1000000,47271.51000000002,49769.0,8844558.336991072,10,指数
DARC_06_16-28-13,9,1,1000000,60933.5,61878.68000000001,8723778.670986062,10,双峰
DARC_06_16-34-45,9,1,1000000,28396.340000000004,32722.462000000014,8891421.487768548,10,双峰
DARC_06_16-35-59,9,1,1000000,59110.39999999999,66405.03200000011,8730240.46907919,10,双峰
DARC_06_16-39-11,9,1,1000000,24165.199999999983,31664.954000000023,8989723.459268784,10,双峰
DARC_07_15-40-49,9,1,1000000,58055.100000000006,64841.860000000095,8864000.0,10,双峰
DARC_07_15-41-37,9,1,1000000,18761.68,24905.01200000004,9036000.0,10,双峰
DARC_07_15-43-20,9,1,1000000,17994.399999999972,23493.555000000044,8889000.0,10,双峰
DARC_07_15-50-04,9,1,1000000,26640.92,28704.39200000002,8790000.0,10,指数
DARC_07_15-51-05,9,1,1000000,40340.74,43999.10500000019,8889000.0,10,双峰
DARC_07_15-58-07,9,1,1000000,60997.27999999999,71212.67200000006,8837000.0,10,双峰
DARC_07_15-59-12,9,1,1000000,46673.76999999999,55195.91700000047,8865000.0,10,双峰
DARC_07_16-03-39,9,1,1000000,24632.84,28382.896000000026,8944000.0,10,双峰
DARC_07_16-04-11,9,1,1000000,31772.949999999997,40243.25000000064,8885000.0,10,双峰
DARC_07_19-49-21,9,1,1000000,37328.86,39556.30800000005,8939000.0,10,指数
DARC_07_19-49-40,9,1,1000000,46177.55999999998,48784.135000000024,8876000.0,10,指数
DARC_07_19-49-42,9,1,1000000,29548.83,31245.441000000013,8898000.0,10,指数
DARC_07_19-49-44,9,1,1000000,22907.699999999993,25201.550000000134,8930000.0,10,指数
DARC_07_19-49-48,9,1,1000000,42646.950000000004,49109.357000000105,8882000.0,10,指数
DARC_07_19-49-45,9,1,1000000,37020.30000000016,41101.90500000022,8818000.0,10,指数
DARC_07_19-49-52,9,1,1000000,17038.08,19718.532000000003,8993000.0,10,指数
DARC_07_19-49-50,9,1,1000000,15438.099999999995,18290.100000000104,9016000.0,10,指数
DARC_07_19-49-55,9,1,1000000,18758.399999999998,21850.12800000002,8985000.0,10,指数
DARC_07_19-50-00,9,1,1000000,18866.670000000006,20617.951,8920000.0,10,指数
DARC_07_19-49-57,9,1,1000000,15086.599999999948,18658.93000000006,9005000.0,10,指数
DARC_07_22-18-35,9,1,1000000,24526.970000000027,30607.916000000034,8908000.0,10,双峰
DARC_07_22-18-48,9,1,1000000,29059.94,35998.253000000055,9035000.0,10,双峰
DARC_07_22-18-55,9,1,1000000,37431.03,50814.46700000017,8874000.0,10,双峰
DARC_07_22-19-00,9,1,1000000,36015.36,38441.816000000355,8975000.0,10,双峰
DARC_07_22-18-53,9,1,1000000,24062.019999999997,32956.43400000007,9036000.0,10,双峰
DARC_07_22-18-51,9,1,1000000,19421.11999999998,22165.864000000027,9010000.0,10,双峰
DARC_07_22-18-58,9,1,1000000,27884.52000000001,38810.03900000005,8985000.0,10,双峰
DARC_07_22-19-12,9,1,1000000,48399.20000000001,53257.48000000007,8861000.0,10,双峰
DARC_07_22-19-07,9,1,1000000,66985.03999999996,71819.63200000006,8872000.0,10,双峰
DARC_07_22-19-21,9,1,1000000,39222.0,44603.89200000081,8864000.0,10,双峰
DARC_07_22-19-11,9,1,1000000,21470.190000000002,26207.812000000125,8840000.0,10,双峰
DARC_07_22-19-25,9,1,1000000,34293.600000000006,47348.80800000008,8864000.0,10,双峰
DARC_07_22-19-32,9,1,1000000,44601.73999999998,50386.04700000009,8785000.0,10,双峰
DARC_08_16-55-51,9,0.1,1000000,5509.0,5519.9400000000005,900430.4057339408,10,双峰
DARC_08_19-32-29,9,0.2,1000000,5510.0,5518.0,1727000.0,10,双峰
DARC_08_20-10-20,9,0.3,1000000,5518.0,6002.46800000001,2720441.8341721115,10,双峰
DARC_08_20-25-19,9,0.4,1000000,5599.089999999999,7525.675000000076,3555000.0,10,双峰
DARC_08_20-52-04,9,0.5,1000000,5934.089999999991,8122.111000000246,4364000.0,10,双峰
DARC_08_21-11-46,9,0.6,1000000,6456.799999999996,8764.832000000231,5282000.0,10,双峰
DARC_08_21-20-01,9,0.7,1000000,7518.799999999988,9279.67000000005,6270000.0,10,双峰
DARC_08_21-27-23,9,0.8,1000000,9066.119999999992,11771.484000000128,7047000.0,10,双峰
DARC_08_21-31-44,9,0.9,1000000,19860.46999999999,25670.586000000018,8247000.000000001,10,双峰
DARC_08_21-39-53,9,1,1000000,29054.400000000034,38722.76000000001,8952000.0,10,双峰
